what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.1.v201007291900,"org.eclipse.wst.common.emfworkbench.integration",1283615797753
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.101.v201007150403,"org.eclipse.wst.common.project.facet.core",1283615797754
started,bundle,org.eclipse.wst.jsdt.core,1.1.1.v201007081533,"org.eclipse.wst.jsdt.core",1283615797755
started,bundle,org.eclipse.wst.jsdt.ui,1.1.1.v201007142139,"org.eclipse.wst.jsdt.ui",1283615797757
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1283615797758
os,sysinfo,,,"macosx",1283615797761
arch,sysinfo,,,"x86_64",1283615797761
ws,sysinfo,,,"cocoa",1283615797761
locale,sysinfo,,,"de_DE",1283615797761
processors,sysinfo,,,"4",1283615797761
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1283615797761
java.runtime.version,sysinfo,,,"1.6.0_20-b02-279-10M3065",1283615797761
java.specification.name,sysinfo,,,"Java Platform API Specification",1283615797761
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1283615797761
java.specification.version,sysinfo,,,"1.6",1283615797761
java.vendor,sysinfo,,,"Apple Inc.",1283615797761
java.version,sysinfo,,,"1.6.0_20",1283615797761
java.vm.info,sysinfo,,,"mixed mode",1283615797761
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1283615797761
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1283615797761
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1283615797761
java.vm.specification.version,sysinfo,,,"1.0",1283615797761
java.vm.vendor,sysinfo,,,"Apple Inc.",1283615797761
java.vm.version,sysinfo,,,"16.3-b01-279",1283615797761
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1283615808572
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283615811581
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283615813264
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283615815255
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283615849395
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283615859225
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1283615859705
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1283615859706
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1283615859707
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1283615859707
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1283615859708
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1283615859709
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1283615859709
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1283615859710
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1283615859710
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1283615859711
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1283615859712
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1283615859713
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1283615859714
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1283615859715
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1283615859716
stopped,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1283615859718
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1283615859735
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1283615859736
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1283615859736
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1283615859737
stopped,bundle,org.eclipse.jst.server.ui,1.1.100.v20100511,"org.eclipse.jst.server.ui",1283615859737
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1283615859738
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1283615859738
stopped,bundle,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.adt",1283615859739
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1283615859763
